file_path,file_name,filing_date,ticker,esg_score,esg_controversy_score,esgc_score,matched_score_date
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2016-Apr-01 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - — - cr04864543.txt,Filing Date - 2016-Apr-01 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - — - cr04864543.txt,2016-04-01,ADI.OQ,77.2508058927006,100.0,,2016-04-01
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-Sep-06 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Automotive Solutions_20240906043332 - cr18677639.txt,Filing Date - 2024-Sep-06 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Automotive Solutions_20240906043332 - cr18677639.txt,2024-09-06,ADI.OQ,68.8453774403586,100.0,,2024-09-06
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2021-Jun-24 - ADI.OQ - Analog Devices Inc - ESG-Env Pol - WATER CONSERVATION - cr11072003.txt,Filing Date - 2021-Jun-24 - ADI.OQ - Analog Devices Inc - ESG-Env Pol - WATER CONSERVATION - cr11072003.txt,2021-06-24,ADI.OQ,72.0820315281392,100.0,,2021-06-24
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2018-Dec-14 - ADI.OQ - Analog Devices Inc - Audit Committee - AUDIT COMMITTEE CHARTER - cr08076384.txt,Filing Date - 2018-Dec-14 - ADI.OQ - Analog Devices Inc - Audit Committee - AUDIT COMMITTEE CHARTER - cr08076384.txt,2018-12-14,ADI.OQ,72.0487101100916,100.0,,2018-12-14
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2024-Oct-30 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Global Tax policy_202410300301042 - cr18895152.txt,Filing Date - 2024-Oct-30 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - Global Tax policy_202410300301042 - cr18895152.txt,2024-10-30,ADI.OQ,68.8453774403586,100.0,,2024-10-30
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2019-Dec-20 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - CORPORATE GOVERNANCE GUIDELINES - cr09294161.txt,Filing Date - 2019-Dec-20 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - CORPORATE GOVERNANCE GUIDELINES - cr09294161.txt,2019-12-20,ADI.OQ,76.7453194593213,100.0,,2019-12-20
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2020-Dec-10 - ADI.OQ - Analog Devices Inc - Audit Committee - AUDIT COMMITTEE CHARTER - cr10266682.txt,Filing Date - 2020-Dec-10 - ADI.OQ - Analog Devices Inc - Audit Committee - AUDIT COMMITTEE CHARTER - cr10266682.txt,2020-12-10,ADI.OQ,72.0820315281392,100.0,,2020-12-10
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2023-Dec-13 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - CORPORATE GOVERNANCE GUIDELINES - cr17106940.txt,Filing Date - 2023-Dec-13 - ADI.OQ - Analog Devices Inc - Governance Principles  or  G... - CORPORATE GOVERNANCE GUIDELINES - cr17106940.txt,2023-12-13,ADI.OQ,68.8453774403586,100.0,,2023-12-13
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2023-May-29 - ADI.OQ - Analog Devices Inc - Gender pay GAP Report - Ireland Gender Pay Gap Analysis - cr15946763.txt,Filing Date - 2023-May-29 - ADI.OQ - Analog Devices Inc - Gender pay GAP Report - Ireland Gender Pay Gap Analysis - cr15946763.txt,2023-05-29,ADI.OQ,74.5445450965832,100.0,,2023-05-29
/Users/lucaschmidt/Desktop/PhD_Rasa/My Papers/aaa Clean Slate/a_Input_Reports_preprocessed_txt/ADI/Filing Date - 2021-Jun-24 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - sustinable technology - cr11071981.txt,Filing Date - 2021-Jun-24 - ADI.OQ - Analog Devices Inc - ESG Web-based Reporting - sustinable technology - cr11071981.txt,2021-06-24,ADI.OQ,72.0820315281392,100.0,,2021-06-24
